AAL	ɐ ɐ l
CINTILAÇÃO	s ĩ t i l ɐ s ɐ̃ w
CINTILAÇÕES	s ĩ t i l ɐ s õ j ʃ
CINTILOU	s ĩ t i l o w
CINZEL	s ĩ z ɛ l
CINÉTICA	s i n ɛ t i k ɐ
CINÉTICAS	s i n ɛ t i k ɐ ʃ
CINÉTICO	s i n ɛ t i k u
CIPOAL	s i p o ɐ l
CIPRESTE	s i p ɾ ɛ s tʃ i
CIPRESTES	s i p ɾ ɛ s tʃ i s
CIRANDINHA	s i ɾ ɐ̃ d i ɲ ɐ
CIRCADIANO	s i ɾ k ɐ d i ɐ n u
CIRCULANTE	s i ɾ k u l ɐ̃ t i
CIRCULANTES	s i ɾ k u l ɐ̃ t i ʃ
CIRCULARIDADE	s i ɾ k u l ɐ ɾ i d ɐ d i
CIRCULARIDADES	s i ɾ k u l ɐ ɾ i d ɐ d i ʃ
CIRCULARMENTE	s i ɾ k u l ɐ ɾ m ẽ t i
CIRCULÁVEL	s i ɾ k u l ɐ v ɛ l
CIRCUNDANTE	s i ɾ k ũ d ɐ̃ t i
CIRCUNDANTES	s i ɾ k ũ d ɐ̃ t i ʃ
CIRCUNDE	s i ɾ k ũ d i
CIRCUNJACENTES	s i ɾ k ũ ʒ ɐ s ẽ t i ʃ
CIRRÓTICA	s i ʁ ɔ t i k ɐ
CIRRÓTICOS	s i ʁ ɔ t i k u ʃ
CISC	s e i ɛ s i s e
CITADINA	s i t ɐ d i n ɐ
CITADINO	s i t ɐ d i n u
CITADINOS	s i t ɐ d i n u ʃ
CITE	s i t i
CITES	s i t i ʃ
CITI	s i t i
CITOGENÉTICA	s i t o ʒ e n ɛ t i k ɐ
CITOPLASMÁTICOS	s i t o p l ɐ z m ɐ t i k u ʃ
CITRONELAL	s i t ɾ o n e l ɐ l
CITY	s i t i
CIVICAMENTE	s i v i k ɐ m ẽ t i
CIVIL	s i v i l
CIVILIDADE	s i v i l i d ɐ d i
CIVILIZACIONAL	s i v i l i z ɐ s i o n ɐ l
CIVILMENTE	s i v i w m ẽ t i
CIÁTICA	s i ɐ t i k ɐ
CIÁTICO	s i ɐ t i k u
CLAMÍDIA	k l ɐ m i d i ɐ
CLAQUETE	k l ɐ k ɛ t i
CLARAMENTE	k l ɐ ɾ ɐ m ẽ t i
CLARAVAL	k l ɐ ɾ ɐ v ɐ l
CLARIDADE	k l ɐ ɾ i d ɐ d i
CLARIDADES	k l ɐ ɾ i d ɐ d i ʃ
CLARINETE	k l ɐ ɾ i n ɛ t i
CLARINETISTA	k l ɐ ɾ i n e t i ʃ t ɐ
CLARIVIDENTE	k l ɐ ɾ i v i d ẽ t i
CLARIVIDENTES	k l ɐ ɾ i v i d ẽ t i ʃ
CLASSICAMENTE	k l ɐ s i k ɐ m ẽ t i
CLASSIFICATIVO	k l ɐ s i f i k ɐ t i v u
CLASSIFICÁVEL	k l ɐ s i f i k ɐ v ɛ l
CLAUDE	k l ɐ w d i
CLAUDETE	k l ɐ w d ɛ t i
CLAUDIANE	k l ɐ w d i ɐ n i
CLAUDIANO	k l ɐ w d i ɐ n u
CLAUDICANDO	k l ɐ w d i k ɐ̃ d u
CLAUDICANTE	k l ɐ w d i k ɐ̃ t i
CLAUDICANTES	k l ɐ w d i k ɐ̃ t i ʃ
CLAUDICAVAM	k l ɐ w d i k ɐ v ɐ̃ w
CLAUDIENE	k l ɐ w d i e n i
CLAUDINE	k l ɐ w d i n i
CLAUDINHO	k l ɐ w d i ɲ u
CLAUDINO	k l ɐ w d i n u
CLAUDIONOR	k l ɐ w d i o n o ɾ
CLAUDSON	k l ɐ w d i s õ
CLAVINOTE	k l ɐ v i n ɔ t i
CLAVINOTES	k l ɐ v i n ɔ t i ʃ
CLEIDE	k l e j d i
CLEIDIANE	k l e j d i ɐ n i
CLEIDSON	k l e j d i s õ
CLEMENTE	k l e m ẽ t i
CLEMENTINA	k l e m ẽ t i n ɐ
CLEMENTINO	k l e m ẽ t i n u
CLERICAL	k l e ɾ i k ɐ l
CLETO	k l ɛ t u
CLEVELAND	k l e v e l ɐ̃ d i
CLEVELÂNDIA	k l e v e l ɐ̃ d i ɐ
CLICÁVEL	k l i k ɐ v ɛ l
CLIENTE	k l i ẽ t i
CLIENTES	k l i ẽ t i ʃ
CLII	k l i i
CLIII	k l i j i
CLIMATISMO	k l i m ɐ t i z m u
CLIMATIZA	k l i m ɐ t i z ɐ
CLIMATIZADA	k l i m ɐ t i z ɐ d ɐ
CLIMATIZADAS	k l i m ɐ t i z ɐ d ɐ ʃ
CLIMATIZADO	k l i m ɐ t i z ɐ d u
CLIMATIZADOS	k l i m ɐ t i z ɐ d u ʃ
CLIMATIZAR	k l i m ɐ t i z ɐ ɾ
CLIMATIZAÇÃO	k l i m ɐ t i z ɐ s ɐ̃ w
CLIMATIZAÇÕES	k l i m ɐ t i z ɐ s õ j ʃ
CLIMATIZE	k l i m ɐ t i z i
CLIMÁTICA	k l i m ɐ t i k ɐ
CLIMÁTICAS	k l i m ɐ t i k ɐ ʃ
CLIMÁTICO	k l i m ɐ t i k u
CLIMÁTICOS	k l i m ɐ t i k u ʃ
CLINCH	k l ĩ ʃ
CLINICAMENTE	k l i n i k ɐ m ẽ t i
CLIP	k l i p i
CLIPART	k l i p ɐ ɾ t i
CLIPS	k l i p i s
CLOCHARD	k l o ʃ ɐ ɾ d i
CLODOVIL	k l o d o v i l
CLORAL	k l o ɾ ɐ l
CLOREXIDINA	k l o ɾ e ʃ i d i n ɐ
CLOSET	k l o z ɛ t i
CLOTILDE	k l o t i w d i
CLVII	s e ɛ l i v e i i
CLVIII	s e ɛ l i v e i i i
CLÁUDIA	k l ɐ w d i ɐ
CLÁUDIO	k l ɐ w d i u
CLÂMIDE	k l ɐ m i d i
CLÉDSON	k l ɛ d i s õ
CMI	s e e m i i
CNA	s e e n i ɐ
CNE	s e e n i ɛ
CNI	s e e n i i
COADJUVANTE	k o ɐ d u v ɐ̃ t i
COADJUVANTES	k o ɐ d u v ɐ̃ t i ʃ
COADJUVAÇÃO	k o ɐ d u v ɐ s ɐ̃ w
COAGULANTE	k o ɐ ɡ u l ɐ̃ t i
COAL	k o ɐ l
COATE	k o ɐ t i
COATES	k o ɐ t i ʃ
COATITAS	k o ɐ t i t ɐ ʃ
COAXIAL	k o ɐ ʃ i ɐ l
COBARDE	k o b ɐ ɾ d i
COBARDES	k o b ɐ ɾ d i ʃ
COBARDIA	k o b ɐ ɾ d i ɐ
COBOL	k o b ɔ l
COBRIL	k o b ɾ i l
COCADINHA	k o k ɐ d i ɲ ɐ
COCAL	k o k ɐ l
COCCIDIOSE	k o k i s i d i ɔ z i
COCHOS	k o ʃ u s
COCIENTE	k o s i ẽ t i
COCKPIT	k o k i p i t i
COCKTAIL	k o k i t ɐ j l
COCOTE	k o k ɔ t i
CODIFICA	k o d i f i k ɐ
CODIFICADA	k o d i f i k ɐ d ɐ
CODIFICADAS	k o d i f i k ɐ d ɐ ʃ
CODIFICADO	k o d i f i k ɐ d u
CODIFICADOR	k o d i f i k ɐ d o ɾ
CODIFICADOS	k o d i f i k ɐ d u ʃ
CODIFICAM	k o d i f i k ɐ̃ w
CODIFICANDO	k o d i f i k ɐ̃ d u
CODIFICAR	k o d i f i k ɐ ɾ
CODIFICARAM	k o d i f i k ɐ ɾ ɐ̃ w
CODIFICAÇÃO	k o d i f i k ɐ s ɐ̃ w
CODIFICAÇÕES	k o d i f i k ɐ s õ j ʃ
CODIFICOU	k o d i f i k o w
CODIFICÁVEIS	k o d i f i k ɐ v e j ʃ
CODIFIQUE	k o d i f i k i
CODINOME	k o d i n ɔ m i
CODIRETOR	k o d i ɾ e t o ɾ
COEFICIENTE	k o e f i s i ẽ t i
COEFICIENTES	k o e f i s i ẽ t i ʃ
COERCITIVA	k o e ɾ s i t i v ɐ
COERCITIVAS	k o e ɾ s i t i v ɐ ʃ
COERCITIVO	k o e ɾ s i t i v u
COERCITIVOS	k o e ɾ s i t i v u ʃ
COERENTE	k o e ɾ ẽ t i
COERENTES	k o e ɾ ẽ t i ʃ
COFEN	k ɔ f ẽ
COGITATIVO	k o ʒ i t ɐ t i v u
COGITE	k o ʒ i t i
COGNITIVA	k o ɡ i n i t i v ɐ
COGNITIVAS	k o ɡ i n i t i v ɐ ʃ
COGNITIVISTA	k o ɡ i n i t i v i ʃ t ɐ
COGNITIVO	k o ɡ i n i t i v u
COGNITIVOS	k o ɡ i n i t i v u ʃ
COGNOSCÍVEL	k o ɡ i n o s i v ɛ l
COI	k ɔ j
COINCIDE	k o ĩ s i d i
COINCIDENTE	k o ĩ s i d ẽ t i
COINCIDENTES	k o ĩ s i d ẽ t i ʃ
COINCIDIA	k o ĩ s i d i ɐ
COINCIDIAM	k o ĩ s i d i ɐ̃ w
COINCIDIDO	k o ĩ s i d i d u
COINCIDIMOS	k o ĩ s i d i m u ʃ
COINCIDINDO	k o ĩ s i d ĩ d u
COINCIDIR	k o ĩ s i d i ɾ
COINCIDIREM	k o ĩ s i d i ɾ ẽ
COINCIDIRIAM	k o ĩ s i d i ɾ i ɐ̃ w
COINCIDIRÁ	k o ĩ s i d i ɾ ɐ
COINCIDIRÃO	k o ĩ s i d i ɾ ɐ̃ w
COINCIDIU	k o ĩ s i d i w
COIOTE	k o j ɔ t i
COIOTES	k o j ɔ t i ʃ
COITADINHA	k o j t ɐ d i ɲ ɐ
COITADINHAS	k o j t ɐ d i ɲ ɐ ʃ
COITADINHO	k o j t ɐ d i ɲ u
COITADINHOS	k o j t ɐ d i ɲ u ʃ
COITADISMO	k o j t ɐ d i z m u
COLABORA	k o l ɐ b ɔ ɾ ɐ
COLABORATIVO	k o l ɐ b o ɾ ɐ t i v u
COLANTE	k o l ɐ̃ t i
COLATERAL	k o l ɐ t e ɾ ɐ l
COLCHETE	k o w ʃ ɛ t i
COLCHETES	k o w ʃ ɛ t i ʃ
COLCHONETE	k o w ʃ o n ɛ t i
COLCHONETES	k o w ʃ o n ɛ t i ʃ
COLEANTE	k o l e ɐ̃ t i
COLEANTES	k o l e ɐ̃ t i ʃ
COLECIONÁVEL	k o l e s i o n ɐ v ɛ l
COLECTE	k o l ɛ k i t i
COLECTIVIDADE	k o l e k i t i v i d ɐ d i
COLECTIVO	k o l e k i t i v u
COLEGIAL	k o l e ʒ i ɐ l
COLEGIALIDADE	k o l e ʒ i ɐ l i d ɐ d i
COLETA	k o l ɛ t ɐ
COLETAS	k o l ɛ t ɐ s
COLETE	k o l ɛ t i
COLETES	k o l ɛ t i ʃ
COLETIVA	k o l e t i v ɐ
COLETIVIDADE	k o l e t i v i d ɐ d i
COLETIVIDADES	k o l e t i v i d ɐ d i ʃ
COLETIVISMO	k o l e t i v i z m u
COLETIVISTA	k o l e t i v i ʃ t ɐ
COLETIVISTAS	k o l e t i v i ʃ t ɐ ʃ
COLETIVIZA	k o l e t i v i z ɐ
COLETIVIZADO	k o l e t i v i z ɐ d u
COLETIVIZANDO	k o l e t i v i z ɐ̃ d u
COLETIVIZAR	k o l e t i v i z ɐ ɾ
COLETIVIZAÇÃO	k o l e t i v i z ɐ s ɐ̃ w
COLETIVO	k o l e t i v u
COLETO	k o l ɛ t u
COLETÁVEL	k o l e t ɐ v ɛ l
COLHER	k o ʎ ɛ ɾ
COLHERES	k o ʎ ɛ ɾ e s
COLHERZINHA	k o ʎ ɛ ɾ z i ɲ ɐ
COLIDE	k o l i d i
COLIDI	k o l i d i
COLIDIA	k o l i d i ɐ
COLIDIAM	k o l i d i ɐ̃ w
COLIDIDO	k o l i d i d u
COLIDINDO	k o l i d ĩ d u
COLIDIR	k o l i d i ɾ
COLIDIRAM	k o l i d i ɾ ɐ̃ w
COLIDIREM	k o l i d i ɾ ẽ
COLIDISSE	k o l i d i s i
COLIDIU	k o l i d i w
COLITE	k o l i t i
COLLANT	k o l ɐ̃ t i
COLMOS	k ɔ w m u s
COLOIDAL	k o l o j d ɐ l
COLONIAL	k o l o n i ɐ l
COLOQUIAL	k o l o k i ɐ l
COLORANTE	k o l o ɾ ɐ̃ t i
COLORRETAL	k o l o ʁ e t ɐ l
COLOSSAL	k o l o s ɐ l
COLOSSOS	k o l o s u s
COLÓN	k o l ɔ n
COMA	k o m ɐ
COMAM	k o m ɐ̃ w
COMANDANTE	k o m ɐ̃ d ɐ̃ t i
COMANDANTES	k o m ɐ̃ d ɐ̃ t i ʃ
COMANDE	k o m ɐ̃ d i
COMANDITA	k o m ɐ̃ d i t ɐ
COMANDITÁRIO	k o m ɐ̃ d i t ɐ ɾ i u
COMAS	k o m ɐ s
COMBATE	k õ b ɐ t i
COMBATENTE	k õ b ɐ t ẽ t i
COMBATENTES	k õ b ɐ t ẽ t i ʃ
COMBATES	k õ b ɐ t i ʃ
COMBATI	k õ b ɐ t i
COMBATIA	k õ b ɐ t i ɐ
COMBATIAM	k õ b ɐ t i ɐ̃ w
COMBATIDA	k õ b ɐ t i d ɐ
COMBATIDAS	k õ b ɐ t i d ɐ ʃ
COMBATIDO	k õ b ɐ t i d u
COMBATIDOS	k õ b ɐ t i d u ʃ
COMBATIVA	k õ b ɐ t i v ɐ
COMBATIVIDADE	k õ b ɐ t i v i d ɐ d i
COMBATIVO	k õ b ɐ t i v u
COMBATIVOS	k õ b ɐ t i v u ʃ
COMBATÍVEL	k õ b ɐ t i v ɛ l
COMBINACIONAL	k õ b i n ɐ s i o n ɐ l
COMBINATIVO	k õ b i n ɐ t i v u
COMBINÁVEL	k õ b i n ɐ v ɛ l
COMBURENTE	k õ b u ɾ ẽ t i
COMEDIA	k o m e d i ɐ
COMEDIANTE	k o m e d i ɐ̃ t i
COMEDIANTES	k o m e d i ɐ̃ t i ʃ
COMEDIAS	k o m e d i ɐ ʃ
COMEDIDA	k o m e d i d ɐ
COMEDIDO	k o m e d i d u
COMEDIDOS	k o m e d i d u ʃ
COMEDIMENTO	k o m e d i m ẽ t u
COMEMORA	k o m e m ɔ ɾ ɐ
COMEMORATIVA	k o m e m o ɾ ɐ t i v ɐ
COMEMORATIVAS	k o m e m o ɾ ɐ t i v ɐ ʃ
COMEMORATIVO	k o m e m o ɾ ɐ t i v u
COMEMORATIVOS	k o m e m o ɾ ɐ t i v u ʃ
COMENSAL	k o m ẽ s ɐ l
COMENSALIDADE	k o m ẽ s ɐ l i d ɐ d i
COMENSURÁVEL	k o m ẽ s u ɾ ɐ v ɛ l
COMENTE	k o m ẽ t i
COMENTES	k o m ẽ t i ʃ
COMERCIAL	k o m e ɾ s i ɐ l
COMERCIALIDADE	k o m e ɾ s i ɐ l i d ɐ d i
COMERCIALIZÁVEL	k o m e ɾ s i ɐ l i z ɐ v ɛ l
COMERCIALMENTE	k o m e ɾ s i ɐ w m ẽ t i
COMERCIANTE	k o m e ɾ s i ɐ̃ t i
COMERCIANTES	k o m e ɾ s i ɐ̃ t i ʃ
COMERCIÁVEL	k o m e ɾ s i ɐ v ɛ l
COMERDES	k o m e ɾ d i ʃ
COMETA	k o m ɛ t ɐ
COMETAS	k o m ɛ t ɐ s
COMETE	k o m ɛ t i
COMETES	k o m ɛ t i ʃ
COMETI	k o m e t i
COMETI-O	k o m e t i u
COMETIA	k o m e t i ɐ
COMETIAM	k o m e t i ɐ̃ w
COMETIDA	k o m e t i d ɐ
COMETIDAS	k o m e t i d ɐ ʃ
COMETIDO	k o m e t i d u
COMETIDOS	k o m e t i d u ʃ
COMETIMENTO	k o m e t i m ẽ t u
COMETIMENTOS	k o m e t i m ẽ t u ʃ
COMETO	k o m ɛ t u
COMEZINHOS	k o m i z i ɲ u s
COMICIDADE	k o m i s i d ɐ d i
COMIDINHA	k o m i d i ɲ ɐ
COMIDINHAS	k o m i d i ɲ ɐ ʃ
COMIL	k o m i l
COMITENTE	k o m i t ẽ t i
COMITIVA	k o m i t i v ɐ
COMITIVAS	k o m i t i v ɐ ʃ
COMMERCIAL	k õ m e ɾ s i ɐ l
COMMODITY	k õ m o d i t i
COMMONWEALTH	k õ m õ w e ɐ w t i
COMO	k o m u
COMODAMENTE	k o m o d ɐ m ẽ t i
COMODANTE	k o m o d ɐ̃ t i
COMODIDADE	k o m o d i d ɐ d i
COMODIDADES	k o m o d i d ɐ d i ʃ
COMODISMO	k o m o d i z m u
COMODÍSSIMO	k o m o d i s i m u
COMORBIDADE	k o m o ɾ b i d ɐ d i
COMOS	k ɔ m u s
COMOVENTE	k o m o v ẽ t i
COMOVENTES	k o m o v ẽ t i ʃ
COMPAGINÁVEL	k õ p ɐ ʒ i n ɐ v ɛ l
COMPARABILIDADE	k õ p ɐ ɾ ɐ b i l i d ɐ d i
COMPARATIVA	k õ p ɐ ɾ ɐ t i v ɐ
COMPARATIVAMENTE	k õ p ɐ ɾ ɐ t i v ɐ m ẽ t i
COMPARATIVAS	k õ p ɐ ɾ ɐ t i v ɐ ʃ
COMPARATIVO	k õ p ɐ ɾ ɐ t i v u
COMPARATIVOS	k õ p ɐ ɾ ɐ t i v u ʃ
COMPARTE	k õ p ɐ ɾ t i
COMPARTIA	k õ p ɐ ɾ t i ɐ
COMPARTICIPA	k õ p ɐ ɾ t i s i p ɐ
COMPARTICIPAÇÃO	k õ p ɐ ɾ t i s i p ɐ s ɐ̃ w
COMPARTICIPAÇÕES	k õ p ɐ ɾ t i s i p ɐ s õ j ʃ
COMPARTIDO	k õ p ɐ ɾ t i d u
COMPARTILHA	k õ p ɐ ɾ t i ʎ ɐ
COMPARTILHADA	k õ p ɐ ɾ t i ʎ ɐ d ɐ
COMPARTILHADAS	k õ p ɐ ɾ t i ʎ ɐ d ɐ ʃ
COMPARTILHADO	k õ p ɐ ɾ t i ʎ ɐ d u
COMPARTILHADOS	k õ p ɐ ɾ t i ʎ ɐ d u ʃ
COMPARTILHAIS	k õ p ɐ ɾ t i ʎ ɐ j ʃ
COMPARTILHAM	k õ p ɐ ɾ t i ʎ ɐ̃ w
COMPARTILHAMENTO	k õ p ɐ ɾ t i ʎ ɐ m ẽ t u
COMPARTILHAMENTOS	k õ p ɐ ɾ t i ʎ ɐ m ẽ t u ʃ
COMPARTILHAMOS	k õ p ɐ ɾ t i ʎ ɐ m u ʃ
COMPARTILHANDO	k õ p ɐ ɾ t i ʎ ɐ̃ d u
COMPARTILHAR	k õ p ɐ ɾ t i ʎ ɐ ɾ
COMPARTILHARAM	k õ p ɐ ɾ t i ʎ ɐ ɾ ɐ̃ w
COMPARTILHAREI	k õ p ɐ ɾ t i ʎ ɐ ɾ e j
COMPARTILHAREM	k õ p ɐ ɾ t i ʎ ɐ ɾ ẽ
COMPARTILHAREMOS	k õ p ɐ ɾ t i ʎ ɐ ɾ e m u ʃ
COMPARTILHARIA	k õ p ɐ ɾ t i ʎ ɐ ɾ i ɐ
COMPARTILHARMOS	k õ p ɐ ɾ t i ʎ ɐ ɾ m u ʃ
COMPARTILHARÁ	k õ p ɐ ɾ t i ʎ ɐ ɾ ɐ
COMPARTILHASSE	k õ p ɐ ɾ t i ʎ ɐ s i
COMPARTILHASSEM	k õ p ɐ ɾ t i ʎ ɐ s ẽ
COMPARTILHAVA	k õ p ɐ ɾ t i ʎ ɐ v ɐ
COMPARTILHAVAM	k õ p ɐ ɾ t i ʎ ɐ v ɐ̃ w
COMPARTILHE	k õ p ɐ ɾ t i ʎ i
COMPARTILHEI	k õ p ɐ ɾ t i ʎ e j
COMPARTILHEM	k õ p ɐ ɾ t i ʎ ẽ
COMPARTILHEMOS	k õ p ɐ ɾ t i ʎ e m u ʃ
COMPARTILHES	k õ p ɐ ɾ t i ʎ i ʃ
COMPARTILHO	k õ p ɐ ɾ t i ʎ u
COMPARTILHOU	k õ p ɐ ɾ t i ʎ o w
COMPARTILHÁ	k õ p ɐ ɾ t i ʎ ɐ
COMPARTILHÁSSEMOS	k õ p ɐ ɾ t i ʎ ɐ s e m u ʃ
COMPARTILHÁVAMOS	k õ p ɐ ɾ t i ʎ ɐ v ɐ m u ʃ
COMPARTILHÁVEIS	k õ p ɐ ɾ t i ʎ ɐ v e j ʃ
COMPARTILHÁVEL	k õ p ɐ ɾ t i ʎ ɐ v ɛ l
COMPARTIMENTA	k õ p ɐ ɾ t i m ẽ t ɐ
COMPARTIMENTADO	k õ p ɐ ɾ t i m ẽ t ɐ d u
COMPARTIMENTALIZAÇÃO	k õ p ɐ ɾ t i m ẽ t ɐ l i z ɐ s ɐ̃ w
COMPARTIMENTANDO	k õ p ɐ ɾ t i m ẽ t ɐ̃ d u
COMPARTIMENTAR	k õ p ɐ ɾ t i m ẽ t ɐ ɾ
COMPARTIMENTAÇÃO	k õ p ɐ ɾ t i m ẽ t ɐ s ɐ̃ w
COMPARTIMENTAÇÕES	k õ p ɐ ɾ t i m ẽ t ɐ s õ j ʃ
COMPARTIMENTO	k õ p ɐ ɾ t i m ẽ t u
COMPARTIMENTOS	k õ p ɐ ɾ t i m ẽ t u ʃ
COMPARTIR	k õ p ɐ ɾ t i ɾ
COMPARTIRA	k õ p ɐ ɾ t i ɾ ɐ
COMPARTIU	k õ p ɐ ɾ t i w
COMPARÁVEL	k õ p ɐ ɾ ɐ v ɛ l
COMPASSADAMENTE	k õ p ɐ s ɐ d ɐ m ẽ t i
COMPASSIVIDADE	k õ p ɐ s i v i d ɐ d i
COMPASSÍVEL	k õ p ɐ s i v ɛ l
COMPATIBILIDADE	k õ p ɐ t i b i l i d ɐ d i
COMPATIBILIZA	k õ p ɐ t i b i l i z ɐ
COMPATIBILIZADO	k õ p ɐ t i b i l i z ɐ d u
COMPATIBILIZAM	k õ p ɐ t i b i l i z ɐ̃ w
COMPATIBILIZANDO	k õ p ɐ t i b i l i z ɐ̃ d u
COMPATIBILIZAR	k õ p ɐ t i b i l i z ɐ ɾ
COMPATIBILIZAREM	k õ p ɐ t i b i l i z ɐ ɾ ẽ
COMPATIBILIZAÇÃO	k õ p ɐ t i b i l i z ɐ s ɐ̃ w
COMPATÍVEIS	k õ p ɐ t i v e j ʃ
COMPATÍVEL	k õ p ɐ t i v ɛ l
COMPENDIA	k õ p ẽ d i ɐ
COMPENDIO	k õ p ẽ d i u
COMPENSATIVO	k õ p ẽ s ɐ t i v u
COMPENSÁVEL	k õ p ẽ s ɐ v ɛ l
COMPETE	k õ p ɛ t i
COMPETENTE	k õ p e t ẽ t i
COMPETENTES	k õ p e t ẽ t i ʃ
COMPETENTÍSSIMO	k õ p e t ẽ t i s i m u
COMPETES	k õ p ɛ t i ʃ
COMPETI	k õ p e t i
COMPETIA	k õ p e t i ɐ
COMPETIAM	k õ p e t i ɐ̃ w
COMPETIDO	k õ p e t i d u
COMPETIDOR	k õ p e t i d o ɾ
COMPETIDORA	k õ p e t i d o ɾ ɐ
COMPETIDORAS	k õ p e t i d o ɾ ɐ ʃ
COMPETIDORES	k õ p e t i d ɔ ɾ i ʃ
COMPETIMOS	k õ p e t i m u ʃ
COMPETINDO	k õ p e t ĩ d u
COMPETIR	k õ p e t i ɾ
COMPETIRAM	k õ p e t i ɾ ɐ̃ w
COMPETIREM	k õ p e t i ɾ ẽ
COMPETIRIA	k õ p e t i ɾ i ɐ
COMPETIRMOS	k õ p e t i ɾ m u ʃ
COMPETIRÁ	k õ p e t i ɾ ɐ
COMPETIRÃO	k õ p e t i ɾ ɐ̃ w
COMPETISSE	k õ p e t i s i
COMPETITIVA	k õ p e t i t i v ɐ
COMPETITIVAS	k õ p e t i t i v ɐ ʃ
COMPETITIVIDADE	k õ p e t i t i v i d ɐ d i
COMPETITIVO	k õ p e t i t i v u
COMPETITIVOS	k õ p e t i t i v u ʃ
COMPETIU	k õ p e t i w
COMPETIÇÃO	k õ p e t i s ɐ̃ w
COMPETIÇÕES	k õ p e t i s õ j ʃ
COMPLACENTE	k õ p l ɐ s ẽ t i
COMPLACENTEMENTE	k õ p l ɐ s ẽ t i m ẽ t i
COMPLACENTES	k õ p l ɐ s ẽ t i ʃ
COMPLEMENTARIDADE	k õ p l e m ẽ t ɐ ɾ i d ɐ d i
COMPLEMENTARIDADES	k õ p l e m ẽ t ɐ ɾ i d ɐ d i ʃ
COMPLEMENTARIEDADE	k õ p l e m ẽ t ɐ ɾ i e d ɐ d i
COMPLEMENTE	k õ p l i m ẽ t i
COMPLETA	k õ p l ɛ t ɐ
COMPLETA-SE	k õ p l ɛ t ɐ s i
COMPLETAMENTE	k õ p l ɛ t ɐ m ẽ t i
COMPLETAS	k õ p l ɛ t ɐ s
COMPLETE	k õ p l ɛ t i
COMPLETIVO	k õ p l e t i v u
COMPLETO	k õ p l ɛ t u
COMPLETOS	k õ p l ɛ t u s
COMPLETUDE	k õ p l e t u d i
COMPLETÍSSIMO	k õ p l e t i s i m u
COMPLEXIDADE	k õ p l e k i s i d ɐ d i
COMPLEXIDADES	k õ p l e k i s i d ɐ d i ʃ
COMPLICADÍSSIMA	k õ p l i k ɐ d i s i m ɐ
COMPLICADÍSSIMAS	k õ p l i k ɐ d i s i m ɐ ʃ
COMPLICADÍSSIMO	k õ p l i k ɐ d i s i m u
COMPLICADÍSSIMOS	k õ p l i k ɐ d i s i m u ʃ
COMPLOT	k õ p l ɔ t i
COMPONENTE	k õ p o n ẽ t i
COMPONENTES	k õ p o n ẽ t i ʃ
COMPORTAMENTAL	k õ p o ɾ t ɐ m ẽ t ɐ l
COMPORTE	k õ p ɔ ɾ t i
COMPORTÁVEL	k õ p o ɾ t ɐ v ɛ l
COMPOSICIONAL	k õ p o z i s i o n ɐ l
COMPREENDES	k õ p ɾ e ẽ d i ʃ
COMPREENDIA	k õ p ɾ e ẽ d i ɐ
COMPREENDIAM	k õ p ɾ e ẽ d i ɐ̃ w
COMPREENDIDA	k õ p ɾ e ẽ d i d ɐ
COMPREENDIDAS	k õ p ɾ e ẽ d i d ɐ ʃ
COMPREENDIDO	k õ p ɾ e ẽ d i d u
COMPREENDIDOS	k õ p ɾ e ẽ d i d u ʃ
COMPREENDÍAMOS	k õ p ɾ e ẽ d i ɐ m u ʃ
COMPREENSIBILIDADE	k õ p ɾ e ẽ s i b i l i d ɐ d i
COMPREENSIVAMENTE	k õ p ɾ e ẽ s i v ɐ m ẽ t i
COMPREENSIVELMENTE	k õ p ɾ e ẽ s i v ɛ w m ẽ t i
COMPREENSÍVEL	k õ p ɾ e ẽ s i v ɛ l
COMPRESSIBILIDADE	k õ p ɾ e s i b i l i d ɐ d i
COMPRESSÍVEL	k õ p ɾ e s i v ɛ l
COMPRIDAMENTE	k õ p ɾ i d ɐ m ẽ t i
COMPRIDÍSSIMAS	k õ p ɾ i d i s i m ɐ ʃ
COMPRIDÍSSIMOS	k õ p ɾ i d i s i m u ʃ
COMPRIMENTE	k õ p ɾ i m ẽ t i
COMPROBANTE	k õ p ɾ o b ɐ̃ t i
COMPROMETA	k õ p ɾ o m ɛ t ɐ
COMPROMETE	k õ p ɾ o m ɛ t i
COMPROMETE-SE	k õ p ɾ o m ɛ t i s i
COMPROMETI	k õ p ɾ o m e t i
COMPROMETIA	k õ p ɾ o m e t i ɐ
COMPROMETIAM	k õ p ɾ o m e t i ɐ̃ w
COMPROMETIDA	k õ p ɾ o m e t i d ɐ
COMPROMETIDAS	k õ p ɾ o m e t i d ɐ ʃ
COMPROMETIDO	k õ p ɾ o m e t i d u
COMPROMETIDOS	k õ p ɾ o m e t i d u ʃ
COMPROMETIMENTO	k õ p ɾ o m e t i m ẽ t u
COMPROMETIMENTOS	k õ p ɾ o m e t i m ẽ t u ʃ
COMPROMETO	k õ p ɾ o m ɛ t u
COMPROVANTE	k õ p ɾ o v ɐ̃ t i
COMPROVANTES	k õ p ɾ o v ɐ̃ t i ʃ
COMPROVATIVO	k õ p ɾ o v ɐ t i v u
COMPROVATIVOS	k õ p ɾ o v ɐ t i v u ʃ
COMPRÁVEL	k õ p ɾ ɐ v ɛ l
