ㄱ	k i jʌ k
달씩	t a l ss i k
달아	t a r a
달아도	t a r a d o
달아서	t a r a s ʌ
달아야	t a r a ja
달아요	t a r a jo
달아주고	t a r a ʣ u g o
달아주는	t a r a ʣ u n ɯ n
달아주세요	t a r a ʣ u s e jo
달아주시고	t a r a ʣ u s i g o
달아주시면	t a r a ʣ u s i m jʌ n
달아주신	t a r a ʣ u s i n
달아줍니다	t a r a ʣ u m n i d a
달았는데	t a r a n n ɯ n d e
달았다	t a r a t dd a
달았습니다	t a r a t ss ɯ m n i d a
달았어요	t a r a ss ʌ jo
달에	t a r e
달에는	t a r e n ɯ n
달에서	t a r e s ʌ
달여	t a r jʌ
달여서	t a r jʌ s ʌ
달은	t a r ɯ n
달을	t a r ɯ l
달의	t a r e
달의돌	t a r i d o l
달이	t a r i
달이나	t a r i n a
달이면	t a r i m jʌ n
달인	t a r i n
달인데	t a r i n d e
달입니다	t a r i m n i d a
달전	t a l ʣ ʌ n
달지	t a l ʣ i
달째	t a l ʨʨ ɛ
달콤	t a l kʰ o m
달콤살벌한	t a l kʰ o m s a l b ʌ r x a n
달콤하게	t a l kʰ o m x a g e
달콤하고	t a l kʰ o m x a g o
달콤한	t a l kʰ o m x a n
달팽이	t a l pʰ ɛ ŋ i
달팽이로	t a l pʰ e ŋ i r o
달하는	t a l x a n ɯ n
달해	t a l x ɛ
닭	t a k
닭가슴살	t a k gg a s ɯ m s a l
닭갈비	t a k gg a l b i
닭고기	t a k gg o g i
닭다리	t a k dd a r i
닭도	t a k dd o
닭똥집	t a k dd o ŋ ʨʨ i p
닭띠	t a k dd i
닭발	t a k bb a l
닭발집	t a k bb a l ʣ i p
닭살	t a k ss a l
닭에	t a l g e
닭은	t a l g ɯ n
닭을	t a l g ɯ l
닭의	t a l g i
닭이	t a l g i
닭한마리	t a kʰ a n m a r i
닮게	t a m g e
닮고	t a m g o
닮다	t a m dd a
닮아	t a l m a
닮아가는	t a l m a g a n ɯ n
닮아서	t a l m a s ʌ
닮았다	t a l m a t dd a
닮았다고	t a l m a t dd a g o
닮았어	t a l m a ss ʌ
닮았어요	t a l m a ss ʌ jo
닮은	t a l m ɯ n
닮지	t a m ʣ i
닳고	t a l kʰ o
닳는	t a l l ɯ n
담	t a m
담가	t a m g a
담가서	t a m g a s ʌ
담게	t a m g e
담겨	t a m g jʌ
담겨서	t a m g jʌ s ʌ
담겨있는	t a m g jʌ i n n ɯ n
담겨져	t a m g jʌ ʣ jʌ
담겨진	t a m g jʌ ʣ i n
담고	t a m gg o
담과	t a m g wa
담궈	t a m g wʌ
담궈서	t a m g wʌ s ʌ
담그고	t a m g ɯ g o
담그는	t a m g ɯ n ɯ n
담그면	t a m g ɯ m jʌ n
담근	t a m g ɯ n
담글	t a m g ɯ l
담금	t a m g ɯ m
담기	t a m gg i
담기가	t a m g i g a
담기는	t a m g i n ɯ n
담긴	t a m g i n
담길	t a m gg i l
담는	t a m n ɯ n
담다	t a m dd a
담담	t a m d a m
담담하게	t a m d a m x a g e
담당	t a m d a ŋ
담당을	t a m d a ŋ ɯ l
담당자	t a m d a ŋ ʣ a
담당자가	t a m d a ŋ ʣ a g a
담당하게	t a m d a ŋ x a g e
담당하고	t a m d a ŋ x a g o
담당하는	t a m d a ŋ x a n ɯ n
담당한	t a m d a ŋ x a n
담당할	t a m d a ŋ x a l
담당합니다	t a m d a ŋ x a m n i d a
담당해	t a m d a ŋ x e
담당했던	t a m d a ŋ x ɛ t dd ʌ n
담대	t a m d ɛ
담대하게	t a m d ɛ x a g e
담대한	t a m d ɛ x a n
담대히	t a m d e x i
담도	t a m d o
담배	t a m b ɛ
담배가	t a m b ɛ g a
담배꽁초	t a m b ɛ gg o ŋ ʨʰ o
담배는	t a m b ɛ n ɯ n
담배도	t a m b e d o
담배를	t a m b ɛ r ɯ l
담배불	t a m b ɛ bb u l
담백하게	t a m b ɛ kʰ a g e
담백하고	t a m b ɛ kʰ a g o
담백한	t a m b ɛ kʰ a n
담벼락	t a m bb jʌ r a k
담벽	t a m bb jʌ k
담보	t a m b o
담보가	t a m b o g a
담보로	t a m b o r o
담보를	t a m b o r ɯ l
담보하는	t a m b o x a n ɯ n
담수	t a m s u
담습니다	t a m s ɯ m n i d a
담아	t a m a
담아낼	t a m a n ɛ l
담아봤습니다	t a m a b wa t ss ɯ m n i d a
담아서	t a m a s ʌ
담아야	t a m a ja
담아요	t a m a jo
담아주세요	t a m a ʣ u s e jo
담았는데	t a m a n n ɯ n d e
담았다	t a m a t dd a
담았습니다	t a m a t ss ɯ m n i d a
담았어요	t a m a ss ʌ jo
담양	t a m ja ŋ
담에	t a m e
담엔	t a m e n
담요	t a m n jo
담요를	t a m jo r ɯ l
담으려고	t a m ɯ r jʌ g o
담으로	t a m ɯ r o
담으면	t a m ɯ m jʌ n
담은	t a m ɯ n
담을	t a m ɯ l
담이	t a m i
담임	t a m i m
담자	t a m ʨʨ a
담장	t a m ʣ a ŋ
담장을	t a m ʣ a ŋ ɯ l
담즙	t a m ʣ ɯ p
담즙이	t a m ʣ ɯ b i
담지	t a m ʨʨ i
답	t a p
답게	t a p gg e
답고	t a p gg o
답글을	t a p gg ɯ r ɯ l
답니까	t a m n i gg a
답니다	t a m n i d a
답다	t a p dd a
답답	t a p dd a p
답답하게	t a p dd a pʰ a g e
답답하고	t a p dd a pʰ a g o
답답하니까	t a p dd a pʰ a n i gg a
답답하다	t a p dd a pʰ a d a
답답하죠	t a p dd a pʰ a ʣ jo
답답하지	t a p dd a pʰ a ʣ i
답답한	t a p dd a pʰ a n
답답한데	t a p dd a pʰ a n d e
답답할	t a p dd a pʰ a l
답답함	t a p dd a pʰ a m
답답함이	t a p dd a pʰ a m i
답답합니다	t a p dd a pʰ a m n i d a
답답해	t a p dd a pʰ ɛ
답답해서	t a p dd a pʰ ɛ s ʌ
답답해요	t a p dd a p h ɛ jo
답도	t a p dd o
답만	t a m m a n
답변	t a p bb jʌ n
답변도	t a p bb jʌ n d o
답변에	t a p bb jʌ n e
답변은	t a p bb jʌ n ɯ n
답변을	t a p bb jʌ n ɯ l
답변이	t a p bb jʌ n i
답변할	t a p bb jʌ n x a l
답변해	t a p bb jʌ n x e
답보	t a p bb o
답사	t a p ss a
답사를	t a p ss a r ɯ l
답안	t a b a n
답에	t a b e
답으로	t a b ɯ r o
답은	t a b ɯ n
답을	t a b ɯ l
답이	t a b i
답이다	t a b i d a
답이라고	t a b i r a g o
답이야	t a b i ja
답이에요	t a b i e jo
답이죠	t a b i ʣ jo
답인	t a b i n
답입니다	t a b i m n i d a
답장	t a p ʨʨ a ŋ
답장을	t a p ʨ a ŋ ɯ l
답장이	t a p ʨʨ a ŋ i
답지	t a p ʨʨ i
답하고	t a pʰ a g o
답하는	t a pʰ a n ɯ n
답하지	t a pʰ a ʣ i
답한	t a pʰ a n
답한다	t a pʰ a n d a
답할	t a pʰ a l
답해	t a pʰ ɛ
답해야	t a pʰ ɛ ja
답했다	t a pʰ ɛ t dd a
답했습니다	t a pʰ ɛ t ss ɯ m n i d a
닷	t a t
닷지	t a t ʨʨ i
닷컴	t a t kʰ ʌ m
당	t a ŋ
당가	t a ŋ g a
당간	t a ŋ g a n
당겨	t a ŋ g jʌ
당겨서	t a ŋ g jʌ s ʌ
당겨야	t a ŋ g jʌ ja
당겨주고	t a ŋ g jʌ ʣ u g o
당겨주세요	t a ŋ g jʌ ʣ u s e jo
당겨줍니다	t a ŋ g jʌ ʣ u m n i d a
당겼다가	t a ŋ g jʌ t dd a g a
당겼을	t a ŋ g jʌ ss ɯ l
당고	t a ŋ g o
당과	t a ŋ g wa
당구	t a ŋ g u
당구를	t a ŋ g u r ɯ l
당국	t a ŋ g u k
당국에	t a ŋ g u g e
당국은	t a ŋ g u g ɯ n
당국의	t a ŋ g u g e
당국이	t a ŋ g u g i
당국자의	t a ŋ g u k ʨʨ a e
당근	t a ŋ g ɯ n
당근도	t a ŋ g ɯ n d o
당근을	t a ŋ g ɯ n ɯ l
당근이	t a ŋ g ɯ n i
당금	t a ŋ g ɯ m
당기게	t a ŋ g i g e
당기고	t a ŋ g i g o
당기기	t a ŋ g i g i
당기는	t a ŋ g i n ɯ n
당기면	t a ŋ g i m jʌ n
당기면서	t a ŋ g i m jʌ n s ʌ
당기손익에	t a ŋ g i s o n i g e
당기시면	t a ŋ g i s i m jʌ n
당기지	t a ŋ g i ʣ i
당긴	t a ŋ g i n
당길	t a ŋ g i l
당깁니다	t a ŋ g i m n i d a
당나귀	t a ŋ n a g wi
당나라	t a ŋ n a r a
당내	t a ŋ n ɛ
당뇨	t a ŋ n jo
당뇨가	t a ŋ n jo g a
당뇨를	t a ŋ n jo r ɯ l
당뇨망막병증	t a ŋ n jo m a ŋ m a k b jʌ ŋ ʨʨ ɯ ŋ
당뇨병	t a ŋ n jo bb jʌ ŋ
당뇨병에	t a ŋ n jo bb jʌ ŋ e
당뇨병이	t a ŋ n jo b jʌ ŋ i
당뇨에	t a ŋ n jo e
당당	t a ŋ d a ŋ
당당하게	t a ŋ d a ŋ x a g e
당당하고	t a ŋ d a ŋ x a g o
당당한	t a ŋ d a ŋ x a n
당당해	t a ŋ d a ŋ x ɛ
당당히	t a ŋ d a ŋ x i
당대	t a ŋ d ɛ
당대에	t a ŋ d ɛ e
당대의	t a ŋ d ɛ e
당대표	t a ŋ d ɛ pʰ jo
당대표가	t a ŋ d ɛ pʰ jo g a
당대표를	t a ŋ d ɛ pʰ jo r ɯ l
당도	t a ŋ d o
당도가	t a ŋ d o g a
당락이	t a ŋ n a g i
당랑권	t a ŋ n a ŋ g wʌ n
당면	t a ŋ m jʌ n
당면한	t a ŋ m jʌ n x a n
당부	t a ŋ b u
당부드립니다	t a ŋ b u d ɯ r i m n i d a
당부를	t a ŋ b u r ɯ l
당부하고	t a ŋ b u x a g o
당부했습니다	t a ŋ b u x e t ss ɯ m n i d a
당분	t a ŋ b u n
당분간	t a ŋ b u n g a n
당분간은	t a ŋ b u n g a n ɯ n
당분을	t a ŋ b u n ɯ l
당분이	t a ŋ b u n i
당비	t a ŋ b i
당사	t a ŋ s a
당사는	t a ŋ s a n ɯ n
당사의	t a ŋ s a i
당사자	t a ŋ s a ʣ a
당사자가	t a ŋ s a ʣ a g a
당사자는	t a ŋ s a ʣ a n ɯ n
당사자들은	t a ŋ s a ʣ a d ɯ r ɯ n
당사자들의	t a ŋ s a ʣ a d ɯ r e
당사자들이	t a ŋ s a ʣ a d ɯ r i
당사자를	t a ŋ s a ʣ a r ɯ l
당사자의	t a ŋ s a ʣ a e
당사자인	t a ŋ s a ʣ a i n
당산	t a ŋ s a n
당상	t a ŋ s a ŋ
당선	t a ŋ s ʌ n
당선된	t a ŋ s ʌ n d ø n
당선이	t a ŋ s ʌ n i
당선인의	t a ŋ s ʌ n i n i
당선인이	t a ŋ s ʌ n i n i
당성	t a ŋ ss ʌ ŋ
당수	t a ŋ s u
당시	t a ŋ s i
당시가	t a ŋ s i g a
당시는	t a ŋ s i n ɯ n
당시를	t a ŋ s i r ɯ l
당시만	t a ŋ s i m a n
당시에	t a ŋ s i e
당시에는	t a ŋ s i e n ɯ n
당시에도	t a ŋ s i e d o
당시엔	t a ŋ s i e n
당시의	t a ŋ s i e
당신	t a ŋ s i n
당신과	t a ŋ s i n g wa
당신께	t a ŋ s i n gg e
당신께서	t a ŋ s i n gg e s ʌ
당신도	t a ŋ s i n d o
당신들	t a ŋ s i n d ɯ l
당신들은	t a ŋ s i n d ɯ r ɯ n
당신들의	t a ŋ s i n d ɯ r i
당신들이	t a ŋ s i n d ɯ r i
당신만	t a ŋ s i n m a n
당신에	t a ŋ s i n e
당신에게	t a ŋ s i n e g e
당신은	t a ŋ s i n ɯ n
당신을	t a ŋ s i n ɯ l
당신의	t a ŋ s i n i
당신이	t a ŋ s i n i
당신한테	t a ŋ s i n x a n tʰ e
당에	t a ŋ e
당에서	t a ŋ e s ʌ
당연	t a ŋ jʌ n
당연시	t a ŋ jʌ n s i
당연하게	t a ŋ jʌ n x a g e
당연하게도	t a ŋ jʌ n x a g e d o
당연하겠죠	t a ŋ jʌ n x a g e t ʨ jo
당연하겠지만	t a ŋ jʌ n x a g e t ʨ i m a n
당연하고	t a ŋ jʌ n x a g o
당연하다	t a ŋ jʌ n x a d a
당연하다고	t a ŋ jʌ n x a d a g o
당연하죠	t a ŋ jʌ n x a ʣ jo
당연하지	t a ŋ jʌ n x a ʣ i
당연하지만	t a ŋ jʌ n x a ʣ i m a n
당연한	t a ŋ jʌ n x a n
당연한거	t a ŋ jʌ n x a n g ʌ
당연한데	t a ŋ jʌ n x a n d e
당연합니다	t a ŋ jʌ n x a m n i d a
당연해	t a ŋ jʌ n x ɛ
당연해요	t a ŋ jʌ n x e jo
당연히	t a ŋ jʌ n x i
당원	t a ŋ wʌ n
당위성	t a ŋ wi ss ʌ ŋ
당으로	t a ŋ ɯ r o
당은	t a ŋ ɯ n
당을	t a ŋ ɯ l
당의	t a ŋ e
당이	t a ŋ i
당이나	t a ŋ i n a
당인	t a ŋ i n
당일	t a ŋ i l
당일날	t a ŋ i l l a l
당일에	t a ŋ i r e
당장	t a ŋ ʣ a ŋ
당장에	t a ŋ ʣ a ŋ e
당장은	t a ŋ ʣ a ŋ ɯ n
당장의	t a ŋ ʣ a ŋ i
당장이라도	t a ŋ ʣ a ŋ i r a d o
당점	t a ŋ ʣ ʌ m
당지	t a ŋ ʣ i
당진	t a ŋ ʣ i n
당찬	t a ŋ ʨʰ a n
당첨	t a ŋ ʨʰ ʌ m
당첨되면	t a ŋ ʨʰ ʌ m d ø m jʌ n
당첨되신	t a ŋ ʨʰ ʌ m d ø s i n
당첨된	t a ŋ ʨʰ ʌ m d ø n
당첨될	t a ŋ ʨʰ ʌ m d ø l
당첨이	t a ŋ ʨʰ ʌ m i
당첨자	t a ŋ ʨʰ ʌ m ʣ a
당초	t a ŋ ʨʰ o
당치	t a ŋ ʨʰ i
당하	t a ŋ x a
당하거나	t a ŋ x a g ʌ n a
당하게	t a ŋ x a g e
당하고	t a ŋ x a g o
당하기	t a ŋ x a g i
당하기도	t a ŋ x a g i d o
당하는	t a ŋ x a n ɯ n
당하니까	t a ŋ x a n i gg a
당하다	t a ŋ x a d a
당하던	t a ŋ x a d ʌ n
당하며	t a ŋ x a m jʌ
당하면	t a ŋ x a m jʌ n
당하면서	t a ŋ x a m jʌ n s ʌ
당하시고	t a ŋ x a s i g o
당하신	t a ŋ x a s i n
당하실	t a ŋ x a s i l
당하여	t a ŋ x a jʌ
당하자	t a ŋ x a ʣ a
당하죠	t a ŋ x a ʣ jo
당하지	t a ŋ x a ʣ i
당한	t a ŋ x a n
당한게	t a ŋ x a n g e
당한다	t a ŋ x a n d a
당한다고	t a ŋ x a n d a g o
당한다는	t a ŋ x a n d a n ɯ n
당할	t a ŋ x a l
당할까	t a ŋ x a l gg a
당할까봐	t a ŋ x a l gg a b wa
당합니다	t a ŋ x a m n i d a
당해	t a ŋ x ɛ
당해도	t a ŋ x ɛ d o
당해서	t a ŋ x ɛ s ʌ
당해야	t a ŋ x ɛ ja
당해요	t a ŋ x ɛ jo
당했고	t a ŋ x ɛ t gg o
당했는데	t a ŋ x ɛ n n ɯ n d e
당했다	t a ŋ x ɛ t dd a
당했다고	t a ŋ x ɛ t dd a g o
당했다는	t a ŋ x ɛ t dd a n ɯ n
당했다라고	t a ŋ x ɛ t dd a r a g o
당했던	t a ŋ x ɛ t dd ʌ n
당했습니다	t a ŋ x ɛ t ss ɯ m n i d a
당했어	t a ŋ x ɛ ss ʌ
당했어요	t a ŋ x ɛ ss ʌ jo
당했을	t a ŋ x ɛ ss ɯ l
당했죠	t a ŋ x ɛ t ʨʨ jo
당황	t a ŋ x wa ŋ
당황스러운	t a ŋ x wa ŋ s ɯ r ʌ u n
당황스럽고	t a ŋ x wa ŋ s ɯ r ʌ p gg o
당황을	t a ŋ x wa ŋ ɯ l
당황하고	t a ŋ x wa ŋ x a g o
당황하지	t a ŋ x wa ŋ x a ʣ i
당황한	t a ŋ x wa ŋ x a n
당황할	t a ŋ x wa ŋ x a l
당황해	t a ŋ x wa ŋ x ɛ
닻	t a t
닿게	t a kʰ e
닿고	t a kʰ o
닿기	t a kʰ i
닿는	t a n n ɯ n
닿는데	t a n n ɯ n d e
닿도록	t a tʰ o r o k
닿습니다	t a ss ɯ m n i d a
닿아	t a a
닿아도	t a a d o
닿아서	t a a s ʌ
닿아야	t a a ja
닿아요	t a a jo
닿았고	t a a t gg o
닿았다	t a a t dd a
닿았습니다	t a a t ss ɯ m n i d a
닿았을	t a a ss ɯ l
닿으면	t a ɯ m jʌ n
닿은	t a ɯ n
닿을	t a ɯ l
닿자	t a ʨʰ a
닿지	t a ʨʰ i
대	t ɛ
대가	t ɛ g a
대가가	t ɛ g a g a
대가는	t ɛ g a n ɯ n
대가로	t ɛ g a r o
대가를	t ɛ g a r ɯ l
대가리	t ɛ g a r i
대가리가	t ɛ g a r i g a
대가리를	t ɛ g a r i r ɯ l
대가리에	t e g a r i e
대가집	t ɛ g a ʨʨ i p
대각	t ɛ g a k
대각선	t ɛ g a k ss ʌ n
대각선으로	t ɛ g a k ss ʌ n ɯ r o
대각선을	t e g a k ss ʌ n ɯ l
대감	t ɛ g a m
대감이	t e g a m i
대강	t ɛ g a ŋ
대개	t ɛ g ɛ
대개가	t e g e g a
대개는	t ɛ g ɛ n ɯ n
대개의	t e g e i
대거	t ɛ g ʌ
대검	t ɛ g ʌ m
대게	t ɛ g e
대게는	t e g e n ɯ n
대결	t ɛ g jʌ l
대결은	t ɛ g jʌ r ɯ n
대결을	t ɛ g jʌ r ɯ l
대결이	t ɛ g jʌ r i
대경	t ɛ g jʌ ŋ
대고	t ɛ g o
대공	t ɛ g o ŋ
대관	t ɛ g wa n
대관령	t ɛ g wa l l jʌ ŋ
대괄호	t ɛ g wa l x o
대교	t ɛ g jo
대구	t ɛ g u
대구가	t e g u g a
대구는	t e g u n ɯ n
대구도	t ɛ g u d o
대구로	t e g u r o
대구를	t e g u r ɯ l
대구뿐만	t e g u bb u n m a n
대구시	t ɛ g u s i
대구에	t ɛ g u e
대구에서	t ɛ g u e s ʌ
대구에서는	t ɛ g u e s ʌ n ɯ n
대구역	t ɛ g u jʌ k
대구의	t e g u i
대구지역	t ɛ g u ʣ i jʌ k
대국	t ɛ g u k
대국민	t ɛ g u ŋ m i n
대군주	t ɛ g u n ʣ u
대굴대굴	t ɛ g u l dd ɛ g u l
대권	t ɛ gg wʌ n
대규모	t ɛ g ju m o
대규모로	t e g ju m o r o
대규모의	t e g ju m o i
대금	t ɛ g ɯ m
대금을	t ɛ g ɯ m ɯ l
대기	t ɛ g i
대기가	t ɛ g i g a
대기를	t ɛ g i r ɯ l
대기실	t ɛ g i s i l
대기압은	t e g i a b ɯ n
대기압이	t e g i a b i
대기업	t ɛ g i ʌ p
대기업들이	t e g i ʌ p dd ɯ r i
대기업에	t e g i ʌ b e
대기업에서	t e g i ʌ b e s ʌ
대기업은	t e g i ʌ b ɯ n
대기업의	t e g i ʌ b i
대기업이	t ɛ g i ʌ b i
대기의	t ɛ g i e
대기하고	t e g i x a g o
대까지	t ɛ gg a ʣ i
대나	t ɛ n a
대나무	t ɛ n a m u
대나무가	t ɛ n a m u g a
대나무를	t ɛ n a m u r ɯ l
대남	t ɛ n a m
대낮에	t ɛ n a ʣ e
대놓고	t ɛ n o kʰ o
대뇌	t ɛ n ø
대는	t ɛ n ɯ n
대니	t ɛ n i
대니까	t e n i gg a
대다	t ɛ d a
대다가	t ɛ d a g a
대다수	t ɛ d a s u
대다수가	t e d a s u g a
대다수의	t e d a s u i
대단	t ɛ d a n
대단지	t ɛ d a n ʣ i
대단하게	t ɛ d a n x a g e
대단하고	t ɛ d a n x a g o
대단하네요	t ɛ d a n x a n e jo
대단하다	t ɛ d a n x a d a
대단하다고	t ɛ d a n x a d a g o
대단하다는	t ɛ d a n x a d a n ɯ n
대단하신	t e d a n x a s i n
대단하죠	t ɛ d a n x a ʣ jo
대단하지	t ɛ d a n x a ʣ i
대단한	t ɛ d a n x a n
대단한게	t ɛ d a n x a n g e
대단한데	t ɛ d a n x a n d e
대단합니다	t ɛ d a n x a m n i d a
대단해	t ɛ d a n x ɛ
대단해요	t ɛ d a n x ɛ jo
대단히	t ɛ d a n x i
대담	t ɛ d a m
대담한	t ɛ d a m x a n
대답	t ɛ d a p
대답도	t e d a p dd o
대답에	t ɛ d a b e
대답으로	t e d a b ɯ r o
대답은	t ɛ d a b ɯ n
대답을	t ɛ d a b ɯ l
대답이	t ɛ d a b i
대답하고	t e d a pʰ a g o
대답하는	t ɛ d a pʰ a n ɯ n
대답하되	t ɛ d a pʰ a d ø
대답하면	t ɛ d a pʰ a m jʌ n
대답하시되	t ɛ d a pʰ a s i d ø
대답하여	t e d a pʰ a jʌ
대답하지	t ɛ d a pʰ a ʣ i
대답한	t e d a pʰ a n
대답할	t ɛ d a pʰ a l
대답합니다	t ɛ d a pʰ a m n i d a
대답해	t ɛ d a pʰ ɛ
대답해야	t e d a pʰ e ja
대답했다	t e d a pʰ e t dd a
대답했습니다	t e d a pʰ e t ss ɯ m n i d a
대답했어요	t e d a pʰ e ss ʌ jo
대당	t ɛ d a ŋ
대대	t ɛ d ɛ
대대로	t ɛ d ɛ r o
대대적으로	t e d e ʣ ʌ g ɯ r o
대대적인	t ɛ d ɛ ʣ ʌ g i n
대도	t ɛ d o
대도시	t ɛ d o s i
대도시가	t e d o s i g a
대동	t ɛ d o ŋ
대동단결	t ɛ d o ŋ d a n g jʌ l
대동맥을	t e d o ŋ m e g ɯ l
대동맥협착은	t e d o ŋ m e k h jʌ p ʨʰ a g ɯ n
대두	t ɛ d u
대두되고	t ɛ d u d ø g o
대들	t ɛ d ɯ l
대들보	t ɛ d ɯ l bb o
대들이	t ɛ d ɯ r i
대등한	t ɛ d ɯ ŋ x a n
대디	t ɛ d i
대뜸	t ɛ dd ɯ m
대라	t e r a
대라고	t e r a g o
대란	t ɛ r a n
대략	t ɛ r ja k
대략적으로	t e r ja k ʨ ʌ g ɯ r o
대략적인	t ɛ r ja k ʨʨ ʌ g i n
대량	t ɛ r ja ŋ
대량생산	t ɛ r ja ŋ s ɛ ŋ s a n
대량으로	t e r ja ŋ ɯ r o
대량의	t ɛ r ja ŋ e
대령	t ɛ r jʌ ŋ
대로	t ɛ r o
대로가	t e r o g a
대로만	t ɛ r o m a n
대로이	t e r o i
대류	t ɛ r ju
대륙	t ɛ r ju k
대륙에	t ɛ r ju g e
대륙에서	t e r ju g e s ʌ
대륙을	t ɛ r ju g ɯ l
대륙의	t e r ju g i
대륙이	t ɛ r ju g i
대를	t e r ɯ l
대리	t ɛ r i
대리가	t ɛ r i g a
대리석	t ɛ r i s ʌ k
대리석으로	t ɛ r i s ʌ g ɯ r o
대리인	t ɛ r i i n
대리인이	t ɛ r i i n i
대리점	t ɛ r i ʣ ʌ m
대림	t ɛ r i m
대립	t ɛ r i p
대립을	t ɛ r i b ɯ l
대립이	t ɛ r i b i
대마	t ɛ m a
대만	t ɛ m a n
대만과	t ɛ m a n g wa
대만에서	t ɛ m a n e s ʌ
대만은	t e m a n ɯ n
대만을	t ɛ m a n ɯ l
대만의	t ɛ m a n e
대만이	t ɛ m a n i
대망	t ɛ m a ŋ
대망의	t e m a ŋ i
대머리	t ɛ m ʌ r i
대며	t ɛ m jʌ
대면	t ɛ m jʌ n
대면서	t ɛ m jʌ n s ʌ
대멸종	t ɛ m jʌ l ʨʨ o ŋ
대명	t ɛ m jʌ ŋ
대명사	t ɛ m jʌ ŋ s a
대모	t ɛ m o
대목	t ɛ m o k
대목은	t e m o g ɯ n
대목을	t ɛ m o g ɯ l
대목이	t ɛ m o g i
대목이다	t e m o g i d a
대목입니다	t e m o g i m n i d a
대문	t ɛ m u n
대문간	t ɛ m u n gg a n
대문에	t ɛ m u n e
대문을	t ɛ m u n ɯ l
대문자	t ɛ m u n ʨʨ a
대문자로	t e m u n ʣ a r o
대물	t ɛ m u l
대물림	t ɛ m u l l i m
대박	t ɛ b a k
대박은	t e b a g ɯ n
대박을	t ɛ b a g ɯ l
대박이	t ɛ b a g i
대박이네	t ɛ b a g i n e
대박이다	t ɛ b a g i d a
대박이야	t ɛ b a g i ja
대박이에요	t ɛ b a g i e jo
대박이죠	t ɛ b a g i ʣ jo
대박인	t ɛ b a g i n
대박인데	t ɛ b a g i n d e
대박입니다	t e b a g i m n i d a
대방	t ɛ b a ŋ
대배심에	t e b e s i m e
대번에	t ɛ b ʌ n e
대법	t ɛ b ʌ p
대법관	t ɛ b ʌ p gg wa n
대법원	t ɛ b ʌ b wʌ n
대법원에서	t e b ʌ b wʌ n e s ʌ
대법원은	t e b ʌ b wʌ n ɯ n
대법원의	t e b ʌ b wʌ n i
대변	t ɛ b jʌ n
대변은	t e b jʌ n ɯ n
대변을	t ɛ b jʌ n ɯ l
대변의	t e b jʌ n i
대변이	t ɛ b jʌ n i
대변이라고도	t e b jʌ n i r a g o d o
대변인	t ɛ b jʌ n i n
대변인이	t ɛ b jʌ n i n i
대변인인	t e b jʌ n i n i n
대변하는	t ɛ b jʌ n x a n ɯ n
대본	t ɛ b o n
대본을	t ɛ b o n ɯ l
대본이	t ɛ b o n i
대부	t ɛ b u
대부분	t ɛ b u b u n
대부분은	t e b u b u n ɯ n
대부분을	t e b u b u n ɯ l
대부분의	t e b u b u n i
대부분이	t ɛ b u b u n i
대부분이고	t e b u b u n i g o
대부분이다	t e b u b u n i d a
대부분이에요	t e b u b u n i e jo
대부분이죠	t ɛ b u b u n i ʣ jo
대부분인	t ɛ b u b u n i n
대부분인데	t e b u b u n i n d e
대부분일	t ɛ b u b u n i l
대부분입니다	t ɛ b u b u n i m n i d a
대부터	t ɛ b u tʰ ʌ
대북	t ɛ b u k
대분류	t ɛ b u l l ju
대비	t ɛ b i
대비가	t ɛ b i g a
대비는	t e b i n ɯ n
대비되는	t ɛ b i d ø n ɯ n
대비를	t ɛ b i r ɯ l
대비하고	t ɛ b i x a g o
대비하기	t e b i x a g i
대비하는	t ɛ b i x a n ɯ n
대비하여	t e b i x a jʌ
대비한	t e b i x a n
대비할	t e b i x a l
대비해	t ɛ b i x ɛ
대비해서	t e b i x e s ʌ
대비해야	t ɛ b i x ɛ ja
대사	t ɛ s a
대사가	t ɛ s a g a
대사관	t ɛ s a g wa n
대사께서	t e s a gg e s ʌ
대사는	t ɛ s a n ɯ n
대사로	t ɛ s a r o
대사를	t ɛ s a r ɯ l
대사의	t e s a i
대산	t ɛ s a n
대상	t ɛ s a ŋ
대상과	t ɛ s a ŋ g wa
대상도	t e s a ŋ d o
대상에	t ɛ s a ŋ e
대상에게	t e s a ŋ e g e
대상에서	t ɛ s a ŋ e s ʌ
대상으로	t ɛ s a ŋ ɯ r o
대상은	t ɛ s a ŋ ɯ n
대상을	t ɛ s a ŋ ɯ l
대상의	t e s a ŋ i
대상이	t ɛ s a ŋ i
대상이다	t ɛ s a ŋ i d a
대상이라고	t e s a ŋ i r a g o
대상인	t ɛ s a ŋ i n
대상입니다	t e s a ŋ i m n i d a
대상자	t ɛ s a ŋ ʣ a
대상자가	t e s a ŋ ʣ a g a
대상자는	t ɛ s a ŋ ʣ a n ɯ n
대상자를	t ɛ s a ŋ ʣ a r ɯ l
대상포진	t ɛ s a ŋ pʰ o ʣ i n
대서	t ɛ s ʌ
대서양	t ɛ s ʌ ja ŋ
대선	t ɛ s ʌ n
대선에	t e s ʌ n e
대선에서	t e s ʌ n e s ʌ
대선을	t e s ʌ n ɯ l
대선이	t e s ʌ n i
대성	t ɛ s ʌ ŋ
대성공	t ɛ s ʌ ŋ g o ŋ
대세	t ɛ s e
대세가	t e s e g a
